vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.206,0.803466391077811,0.206,0.819519441932567,0.206,0.658015760237695,0.206,0.571575593161952,0.206,0.819519441932567,0.206,0.728725832149163
0.2158,0.801384348353611,0.2158,0.818294799636008,0.2158,0.657666576792154,0.2158,0.572347578443598,0.2158,0.818294799636008,0.2158,0.726694415422466
0.2256,0.796528745680519,0.2256,0.814346861520952,0.2256,0.655612644635597,0.2256,0.571491014655307,0.2256,0.814346861520952,0.2256,0.722716138982128
0.2354,0.789609277834311,0.2354,0.808584096525658,0.2354,0.651713750383615,0.2354,0.569717013131754,0.2354,0.808584096525658,0.2354,0.716916218442603
0.2452,0.781827820018831,0.2452,0.801603753431811,0.2452,0.647079301532546,0.2452,0.567109208725305,0.2452,0.801603753431811,0.2452,0.710189016623019
0.255,0.773251395781638,0.255,0.793296370967742,0.255,0.641768765508685,0.255,0.564143920595534,0.255,0.793296370967742,0.255,0.70272952853598
0.2648,0.764318135164108,0.2648,0.784644451033612,0.2648,0.636080256065202,0.2648,0.560507568673068,0.2648,0.784644451033612,0.2648,0.695063446084134
0.2746,0.754903130546317,0.2746,0.775660337961789,0.2746,0.629863980074274,0.2746,0.556794284776805,0.2746,0.775660337961789,0.2746,0.686852152903101
0.2844,0.745227450664754,0.2844,0.766465203743406,0.2844,0.623577747371348,0.2844,0.552829139441123,0.2844,0.766465203743406,0.2844,0.678455662303263
0.2942,0.735704128242696,0.2942,0.757167686517855,0.2942,0.617254158407308,0.2942,0.548740986526473,0.2942,0.757167686517855,0.2942,0.670160734292855
0.304,0.726377772292937,0.304,0.747727513134234,0.304,0.610845879905504,0.304,0.544515355593949,0.304,0.747727513134234,0.304,0.662173407143613
0.3138,0.71724133154169,0.3138,0.738470915815867,0.3138,0.604752240708161,0.3138,0.540568246360148,0.3138,0.738470915815867,0.3138,0.654328341668167
0.3236,0.708148737946006,0.3236,0.729228340240774,0.3236,0.598562027452822,0.3236,0.536517561231226,0.3236,0.729228340240774,0.3236,0.646471761159089
0.3334,0.69909438707261,0.3334,0.720072636310129,0.3334,0.59263470490663,0.3334,0.532495719407138,0.3334,0.720072636310129,0.3334,0.638838354112044
0.3432,0.690355797239629,0.3432,0.711114471893267,0.3432,0.586713659168469,0.3432,0.528474957424004,0.3432,0.711114471893267,0.3432,0.631295165076505
0.353,0.681781441965729,0.353,0.702146783058519,0.353,0.581005496281927,0.353,0.524671839637892,0.353,0.702146783058519,0.353,0.624064015518914
0.3628,0.673417335054923,0.3628,0.693443540538993,0.3628,0.57530260337491,0.3628,0.520643179259504,0.3628,0.693443540538993,0.3628,0.616973775434267
0.3726,0.665262723108118,0.3726,0.684951310486394,0.3726,0.569848799659549,0.3726,0.516806643803039,0.3726,0.684951310486394,0.3726,0.609833028763111
0.3824,0.657101326090036,0.3824,0.676740146713723,0.3824,0.564336616222276,0.3824,0.513168511366926,0.3824,0.676740146713723,0.3824,0.603115356898686
0.3922,0.649253833152697,0.3922,0.668704951455575,0.3922,0.559155986387855,0.3922,0.509527743461093,0.3922,0.668704951455575,0.3922,0.596648501981946
