vp_wecs,FP_wecs,vp_ecs,FP_ecs,vp_agg,FP_agg
0.5294,0.571122081613402,0.5294,0.351006571930973,0.5294,0.330376109581131
0.5392,0.565183788067752,0.5392,0.352239062720788,0.5392,0.332018996246214
0.549,0.559335340320172,0.549,0.35337529319117,0.549,0.33391213183501
0.5588,0.553657311807209,0.5588,0.354615368943081,0.5588,0.335643584528708
0.5686,0.548053507096829,0.5686,0.355697411897859,0.5686,0.337335276491613
0.5784,0.542710734792368,0.5784,0.35666454958132,0.5784,0.33893951569041
0.5882,0.537309948279349,0.5882,0.357516252997775,0.5882,0.340475598832674
0.598,0.532017667598324,0.598,0.358574119275706,0.598,0.34209212782167
0.6078,0.526886563999743,0.6078,0.359460676897233,0.6078,0.343605670501718
0.6176,0.521879261740922,0.6176,0.360402386463316,0.6176,0.345070721184214
0.6274,0.51691326558759,0.6274,0.361351825494025,0.6274,0.346297706133528
0.6372,0.512060798205554,0.6372,0.362127238966361,0.6372,0.34759318616723
0.647,0.507397921202483,0.647,0.362989032045072,0.647,0.348855625635194
0.6568,0.502756205463753,0.6568,0.363710281510695,0.6568,0.350216292236741
0.6666,0.498210957174853,0.6666,0.36444754990849,0.6666,0.351520000337754
0.6764,0.493765336062065,0.6764,0.365392446565244,0.6764,0.352891793966858
0.6862,0.489343854146651,0.6862,0.366063145541361,0.6862,0.354176609992293
0.696,0.485170639358372,0.696,0.366779042833106,0.696,0.355418078183554
0.7058,0.481039676775197,0.7058,0.367508381063753,0.7058,0.356716686662526
0.7156,0.476931640926138,0.7156,0.368260757258108,0.7156,0.357870434335121
0.7254,0.472889435035527,0.7254,0.368960152216353,0.7254,0.359091855037707
0.7352,0.468883600198555,0.7352,0.369723926440552,0.7352,0.360129727693488
0.745,0.464969377706038,0.745,0.37028404047232,0.745,0.361160481021559
0.7548,0.461061352914364,0.7548,0.370831161687748,0.7548,0.362236253243044
0.7646,0.457292652595616,0.7646,0.371411377326475,0.7646,0.363273833215577
0.7744,0.453589446188954,0.7744,0.371999207898385,0.7744,0.364383716653936
0.7842,0.449895680208004,0.7842,0.372588830591009,0.7842,0.365382639767041
0.794,0.446325791704517,0.794,0.373083989040001,0.794,0.366295968074655
0.8038,0.442740662953657,0.8038,0.373688946557219,0.8038,0.367210422817599
0.8136,0.4392242373186,0.8136,0.374235412237398,0.8136,0.368162284149771
0.8234,0.435832171605882,0.8234,0.374879704996178,0.8234,0.369010208211539
0.8332,0.43248045898548,0.8332,0.375458392855711,0.8332,0.36990108962711
0.843,0.429191727679987,0.843,0.375956262920533,0.843,0.370786725220615
0.8528,0.425941143575755,0.8528,0.376466181666067,0.8528,0.37146215166289
0.8626,0.422680850510211,0.8626,0.376923644027737,0.8626,0.372302474944816
0.8724,0.419517705425664,0.8724,0.377464149425179,0.8724,0.373139986812594
0.8822,0.416437226194646,0.8822,0.377920199879506,0.8822,0.373937266671609
0.892,0.413393333068645,0.892,0.378349748222436,0.892,0.374685225248209
0.9018,0.410398481147079,0.9018,0.378807077372224,0.9018,0.37540356046058
0.9116,0.407444772426277,0.9116,0.379200139496071,0.9116,0.376144511286312
0.9214,0.404578914566063,0.9214,0.379714986938205,0.9214,0.376953609015561
0.9312,0.401805227747539,0.9312,0.380173844607707,0.9312,0.377729537500194
0.941,0.399055023507019,0.941,0.3804955297398,0.941,0.378435882551534
0.9508,0.396314873711197,0.9508,0.3808793525817,0.9508,0.379010132170263
0.9606,0.393552677160024,0.9606,0.381299896871503,0.9606,0.379737440422389
0.9704,0.390903252866727,0.9704,0.381751529039306,0.9704,0.380487696989947
0.9802,0.388266718484455,0.9802,0.38227894319919,0.9802,0.381227439086022
0.99,0.38569095630694,0.99,0.382718649901325,0.99,0.382008218924669
