vp_wecs,FP_wecs,vp_nowecs,FP_nowecs,vp_agg,FP_agg
0.843,0.435484540397721,0.843,0.375120871279924,0.843,0.426683786602473
0.8528,0.431767801806106,0.8528,0.3757398184442,0.8528,0.423903826008879
0.8626,0.42812598930574,0.8626,0.376325181815422,0.8626,0.421176888950566
0.8724,0.424553678504098,0.8724,0.376797042032064,0.8724,0.418492973450673
0.8822,0.421055860766063,0.8822,0.377386756107974,0.8822,0.415784481899128
0.892,0.417612011660921,0.892,0.377859793560137,0.892,0.41309767077243
0.9018,0.414227437672678,0.9018,0.378195717297051,0.9018,0.410390106351529
0.9116,0.410895639502298,0.9116,0.378703599911985,0.9116,0.407766941922306
0.9214,0.407598811471327,0.9214,0.379252287357845,0.9214,0.405119005179436
0.9312,0.4043703623273,0.9312,0.379710128362861,0.9312,0.402345685765299
0.941,0.401160008840938,0.941,0.380251027597167,0.941,0.399618511888714
0.9508,0.398047596068535,0.9508,0.38076212484112,0.9508,0.396939553041136
0.9606,0.394968603544594,0.9606,0.381342900260011,0.9606,0.394220026040941
0.9704,0.391950653677633,0.9704,0.381787864210725,0.9704,0.391494094349802
0.9802,0.388982869571963,0.9802,0.382230364022575,0.9802,0.388777583374012
0.99,0.386057830946964,0.99,0.38265024954471,0.99,0.385998757911706
