TP_wecs,FP_wecs,TP_deep,FP_deep
0.855598443166313,0.0204493559115286,0.37420357170169,0.148480921058387
0.8402474512282,0.0168924027930706,0.354642527963035,0.134729285372374
0.824815961167706,0.0139678524426869,0.335431651056739,0.121777526705269
0.811835638933722,0.0116657063976414,0.316691688166373,0.109843111621588
0.801137438469248,0.00984723598746693,0.298350190981795,0.0990422722506415
0.793461942500191,0.00829247503196383,0.28020993910317,0.0888713360320851
0.788149066423026,0.00709265950360132,0.262878693354477,0.0797014958950061
0.784349555046629,0.0061465549671738,0.245877489907548,0.0711728071808959
0.781399298861354,0.00535292698747568,0.229733591463979,0.0633490100896987
0.779012529532749,0.00471927441155922,0.21363396698772,0.0560888763352635
0.776344016775809,0.00421185242768924,0.198757913971657,0.0496736126820501
0.773727827798417,0.00376067179671126,0.183865761331117,0.0437757694754431
0.770242259099307,0.00334948501667869,0.169327800429055,0.0385665703898026
0.766201253355765,0.00300078862874833,0.155727642652735,0.0336923198058299
0.760397338732074,0.00270958340155201,0.14266682229637,0.029238004656784
0.752081882690086,0.00242087779003978,0.130338534853675,0.0252211222524537
0.739624798251581,0.00214716987263208,0.118533485206458,0.0218453912710921
0.72155296977698,0.00191720522969593,0.107283872603672,0.0188346041796074
0.695511827186631,0.00167724212402343,0.0968915650042463,0.0161812621309474
0.659207173992667,0.00150101921829519,0.08749340921623,0.0138416218506405
0.610618507323317,0.0013347947753033,0.0783649221381911,0.0117994358367401
0.549037443701626,0.00114732359899665,0.0702587612143947,0.0100309577402474
0.476226892007744,0.000996096850109296,0.0627523113023389,0.00846244889848186
0.398059190269387,0.000853618756116247,0.0557892237163568,0.00717139739765011
0.320076634212507,0.000751134513068616,0.0493654735503294,0.00604282091628412
0.249677001283945,0.000674896234703914,0.043746704608115,0.00507297003085776
0.191541257300173,0.000623654113180099,0.0383815047514017,0.00426184474137101
0.14972248272309,0.000566162952446061,0.0337126136532865,0.00358819831450914
0.120916229628944,0.000522419677974511,0.0293576652324585,0.00301328670716877
0.10328714082744,0.000462428901556386,0.0256104776356091,0.0024721199115636
0.093828611447638,0.00042868408982119,0.0220202613774034,0.00201843966490152
0.0888981014517836,0.000383691007507596,0.0189170587596044,0.0016622444299189
0.0866320793067502,0.00035869485066671,0.0161438984435688,0.00133979400667147
0.0853883833159592,0.00031495157619516,0.0137410294904871,0.00107733435984217
0.0843700820678358,0.000273707917407699,0.0114911069699299,0.000847369716906026
0.0835409514073084,0.00023621368214637,0.00973624790201769,0.000669897003335737
0.0827842690569243,0.000206218293937307,0.00818263414005868,0.000552415066183574
0.0818504908373012,0.000184971560622554,0.0068664898391245,0.000429933897663234
0.0806188695648674,0.000156225980255536,0.00576366556250075,0.0003499461957724
0.0792463765782663,0.000136229054782827,0.00472121487766298,0.000274957725249743
0.0777249620652598,0.000111232897941941,0.00394843290280254,0.000217466564515706
0.0758372810954184,9.49853959953657e-05,0.00327224867479966,0.000181222137096421
0.0736155329176947,7.74880862067457e-05,0.00260008935291584,0.000144977709677137
0.0709309205362785,6.37401999442586e-05,0.00212917533698526,0.000109983090099897
0.0676787963920742,5.249192936586e-05,0.00171863491284066,7.74880862067457e-05
0.0640322314482015,3.499461957724e-05,0.00145299110898238,4.99923136817714e-05
0.0600153751413748,1.99969254727086e-05,0.00115112315005253,3.74942352613286e-05
0.0556966508756183,9.99846273635429e-06,0.000901578970670509,2.49961568408857e-05
0.0511485069610751,4.99923136817714e-06,0.000704358570836335,1.99969254727086e-05
0.0463870430222215,3.74942352613286e-06,0.00053933741995468,8.74865489431e-06
0.041754376079178,1.24980784204429e-06,0.000430664954739931,4.99923136817714e-06
0.0370532857321103,1.24980784204429e-06,0.0003541917384777,4.99923136817714e-06
0.0321831493280419,1.24980784204429e-06,0.000277718522215469,3.74942352613286e-06
0.0273049631117354,1.24980784204429e-06,0.000221369836548563,2.49961568408857e-06
0.0225877731401915,0,0.000160996244762591,1.24980784204429e-06
0.0180114548828149,0,0.000120747183571943,1.24980784204429e-06
0.0138376272373447,0,0.000104647559095684,0
0.0101186139833288,0,7.64732162622307e-05,0
0.00694296305538673,0,6.03735917859716e-05,0
0.00458839297573384,0,4.02490611906477e-05,0
0.0029703807158698,0,3.6224155071583e-05,0
0.00167838585165001,0,2.41494367143886e-05,0
0.000961952562456481,0,2.01245305953239e-05,0
0.000499088358764032,0,1.60996244762591e-05,0
0.00026161889773921,0,1.20747183571943e-05,0
