vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.157,0.782944666758659,0.157,0.791286896695305,0.157,0.717489874818134,0.157,0.667034635021388,0.157,0.791286896695305,0.157,0.75299397935988
0.1668,0.810870309787294,0.1668,0.81981788333668,0.1668,0.745643726895868,0.1668,0.69444792195675,0.1668,0.81981788333668,0.1668,0.780640360926409
0.1766,0.836538816323519,0.1766,0.846219836174452,0.1766,0.771626632720832,0.1766,0.720228211940078,0.1766,0.846219836174452,0.1766,0.805978341081839
0.1864,0.855943123349883,0.1864,0.866706614884165,0.1864,0.792520071726574,0.1864,0.74144192039792,0.1864,0.866706614884165,0.1864,0.825999981978248
0.1962,0.866230426435101,0.1962,0.873306853609991,0.1962,0.793920525601959,0.1962,0.743134940905008,0.1962,0.873306853609991,0.1962,0.82607489475631
0.206,0.875593161951514,0.206,0.882164233733798,0.206,0.785247384058907,0.206,0.735236618869224,0.206,0.882164233733798,0.206,0.818735736123671
0.2158,0.881243470054936,0.2158,0.889268983182232,0.2158,0.774106029456372,0.2158,0.725047184119174,0.2158,0.889268983182232,0.2158,0.811255097570018
0.2256,0.881924570938451,0.2256,0.89256348296537,0.2256,0.762253305072864,0.2256,0.714662729994309,0.2256,0.89256348296537,0.2256,0.80406257989493
0.2354,0.877376395147874,0.2354,0.891109818933631,0.2354,0.750819725089241,0.2354,0.70430133578847,0.2354,0.891109818933631,0.2354,0.796453780426742
0.2452,0.868974056697075,0.2452,0.885672239320838,0.2452,0.739926102333236,0.2452,0.694467960535165,0.2452,0.885672239320838,0.2452,0.788683529681702
0.255,0.858820564516129,0.255,0.877493021091811,0.255,0.729509150124069,0.255,0.684824751861042,0.255,0.877493021091811,0.255,0.780296215880893
0.2648,0.847565936029317,0.2648,0.867143367622349,0.2648,0.719582753613272,0.2648,0.67557344768074,0.2648,0.867143367622349,0.2648,0.771514266815683
0.2746,0.835672418678877,0.2746,0.855650345269877,0.2746,0.71020820593894,0.2746,0.666594580083223,0.2746,0.855650345269877,0.2746,0.762162746647974
0.2844,0.823713844600379,0.2844,0.843941844044283,0.2844,0.700929997731713,0.2844,0.65814351672313,0.2844,0.843941844044283,0.2844,0.752573774210307
0.2942,0.811945186589675,0.2942,0.832087247550921,0.2942,0.691854118187825,0.2942,0.65009767588842,0.2942,0.832087247550921,0.2942,0.743040592950099
0.304,0.79998942209372,0.304,0.820087444025246,0.304,0.682891999576884,0.304,0.642096541024647,0.304,0.820087444025246,0.304,0.733528436938049
0.3138,0.788351780791555,0.3138,0.8081510521285,0.3138,0.674141465914915,0.3138,0.634577555515536,0.3138,0.8081510521285,0.3138,0.723845706290606
0.3236,0.776916899750243,0.3236,0.796387034428316,0.3236,0.665485936723764,0.3236,0.627290854276828,0.3236,0.796387034428316,0.3236,0.714385850295693
0.3334,0.765697736636524,0.3334,0.784749719086093,0.3334,0.657328508748462,0.3334,0.619940205468457,0.3334,0.784749719086093,0.3334,0.70499692332388
0.3432,0.754706373577238,0.3432,0.773406934462556,0.3432,0.649364483400293,0.3432,0.612992418513818,0.3432,0.773406934462556,0.3432,0.695859443322966
0.353,0.744125444552215,0.353,0.762334303265438,0.353,0.641513094083414,0.353,0.606016812156482,0.353,0.762334303265438,0.353,0.686886517943744
0.3628,0.733658145643974,0.3628,0.751388190994727,0.3628,0.633606625153448,0.3628,0.599466349487021,0.3628,0.751388190994727,0.3628,0.678120965023311
0.3726,0.723414774576314,0.3726,0.740831601872481,0.3726,0.626307983077578,0.3726,0.59287305680026,0.3726,0.740831601872481,0.3726,0.669702981450422
0.3824,0.713535603638895,0.3824,0.730298046896654,0.3824,0.619326545821862,0.3824,0.586590045393793,0.3824,0.730298046896654,0.3824,0.66120647708445
