vp_J1,FP_J1,vp_J2,FP_J2,vp_J3,FP_J3,vp_J4,FP_J4,vp_J5,FP_J5
0.2746,0.709947202791988,0.2746,0.855650345269877,0.2746,0.873637190711271,0.2746,0.812055362496085,0.2746,0.713209742128891
0.2844,0.705525108475345,0.2844,0.843941844044283,0.2844,0.86322960187902,0.2844,0.806259009124368,0.2844,0.714261672532506
0.2942,0.701187192967336,0.2942,0.832087247550921,0.2942,0.851977936740498,0.2942,0.800597546611509,0.2942,0.713389496969175
0.304,0.696128486301611,0.304,0.820087444025246,0.304,0.840107894644053,0.304,0.794344346109093,0.304,0.71141708684461
0.3138,0.690567553714658,0.3138,0.8081510521285,0.3138,0.827739066590937,0.3138,0.787742252760192,0.3138,0.708520924820258
0.3236,0.684979890161491,0.3236,0.796387034428316,0.3236,0.815431834112547,0.3236,0.781057961250281,0.3236,0.704732447275474
0.3334,0.679350152496121,0.3334,0.784749719086093,0.3334,0.803179677885387,0.3334,0.773857616779924,0.3334,0.700308336454599
0.3432,0.673315535800001,0.3432,0.773406934462556,0.3432,0.791196796444,0.3432,0.766246276655204,0.3432,0.694922442645695
0.353,0.667352085354025,0.353,0.762334303265438,0.353,0.779333979954737,0.353,0.758402845134174,0.353,0.689236986744261
0.3628,0.661567622233954,0.3628,0.751388190994727,0.3628,0.767804781864787,0.3628,0.750774397496486,0.3628,0.683260292967135
0.3726,0.655571757578792,0.3726,0.740831601872481,0.3726,0.756442911858212,0.3726,0.742812351365559,0.3726,0.677338097979823
0.3824,0.649356048707478,0.3824,0.730298046896654,0.3824,0.745372851185967,0.3824,0.734674205608628,0.3824,0.671202966302654
0.3922,0.643505809414814,0.3922,0.720191600791263,0.3922,0.734610166665403,0.3922,0.72628523355136,0.3922,0.665051803457606
0.402,0.63754942304334,0.402,0.710255962482518,0.402,0.724101131226109,0.402,0.717671098135619,0.402,0.658961970563344
0.4118,0.631720070502766,0.4118,0.700567579605943,0.4118,0.713768472797781,0.4118,0.708958525968862,0.4118,0.65265333543058
0.4216,0.625832509090804,0.4216,0.691126998999324,0.4216,0.703841814945846,0.4216,0.700149015325843,0.4216,0.646222555620079
0.4314,0.619903568590015,0.4314,0.681960420028852,0.4314,0.694120651989344,0.4314,0.691303907341372,0.4314,0.639934704034908
0.4412,0.614055984868194,0.4412,0.672887207577153,0.4412,0.68464951447436,0.4412,0.682495060365498,0.4412,0.633763896018057
0.451,0.608225285259392,0.451,0.664147354791845,0.451,0.675378901825854,0.451,0.673901139651298,0.451,0.627591455595742
0.4608,0.602418959128639,0.4608,0.655571000373136,0.4608,0.666352303122997,0.4608,0.665354540571349,0.4608,0.621461189086938
0.4706,0.596681821183885,0.4706,0.647191786638056,0.4706,0.657586536426778,0.4706,0.657001562177775,0.4706,0.615390214216492
0.4804,0.591016353602619,0.4804,0.638998974991658,0.4804,0.649031028105968,0.4804,0.648812997797096,0.4804,0.609535635325696
0.4902,0.585390804823828,0.4902,0.63106109788646,0.4902,0.640632684778973,0.4902,0.640619569422859,0.4902,0.603707711173628
0.5,0.579886404370934,0.5,0.623277398248572,0.5,0.632470646697923,0.5,0.632695819168389,0.5,0.598003729580804
0.5098,0.574355346052512,0.5098,0.615682673556257,0.5098,0.624553489898687,0.5098,0.624859996653968,0.5098,0.592406039715613
0.5196,0.568874299911886,0.5196,0.608282185774991,0.5196,0.616801106274731,0.5196,0.617234741766283,0.5196,0.586718904616579
0.5294,0.563513525285321,0.5294,0.601053549850728,0.5294,0.609204685596383,0.5294,0.609752242806778,0.5294,0.581092600635415
0.5392,0.558219316946101,0.5392,0.593948479133004,0.5392,0.601824671774109,0.5392,0.602470986490056,0.5392,0.575542025815727
0.549,0.553045001886859,0.549,0.587006034308069,0.549,0.594606859914988,0.549,0.595317920548075,0.549,0.570156566814825
0.5588,0.547990944358621,0.5588,0.580232191630603,0.5588,0.587557241936392,0.5588,0.588281117981009,0.5588,0.564824657806775
0.5686,0.542870436251662,0.5686,0.573630268754891,0.5686,0.580655472591168,0.5686,0.581413162253322,0.5686,0.55947567875379
0.5784,0.537798161059899,0.5784,0.567261906850584,0.5784,0.573889202747766,0.5784,0.574710304357336,0.5784,0.554121941776644
