vp_J1,FP_J1,vp_J2,FP_J2,vp_J3,FP_J3,vp_J4,FP_J4,vp_J5,FP_J5
0.7646,0.437618192448253,0.7646,0.45098334212536,0.7646,0.457292652595616,0.7646,0.454361765540462,0.7646,0.450989055355487
0.7744,0.435025979047026,0.7744,0.447546842437787,0.7744,0.453589446188954,0.7744,0.45074165228625,0.7744,0.447584561562326
0.7842,0.432378920864519,0.7842,0.444249149658276,0.7842,0.449895680208004,0.7842,0.44728441665904,0.7842,0.444183774676721
0.794,0.429893193663034,0.794,0.440964198693459,0.794,0.446325791704517,0.794,0.443826305107574,0.794,0.440910545761326
0.8038,0.427408462216553,0.8038,0.437775932879928,0.8038,0.442740662953657,0.8038,0.44043881689511,0.8038,0.437706291040577
0.8136,0.424884755813046,0.8136,0.434674384108557,0.8136,0.4392242373186,0.8136,0.43711816001467,0.8136,0.434520059478528
0.8234,0.422371722804335,0.8234,0.431520438908126,0.8234,0.435832171605882,0.8234,0.433797724513199,0.8234,0.431434096325943
0.8332,0.41997028856805,0.8332,0.428482694026612,0.8332,0.43248045898548,0.8332,0.43063931266247,0.8332,0.428379318918447
0.843,0.417552761693496,0.843,0.425475736111614,0.843,0.429191727679987,0.843,0.427475024350872,0.843,0.425382129860129
0.8528,0.415119206706345,0.8528,0.422475603384678,0.8528,0.425941143575755,0.8528,0.424332642850704,0.8528,0.422428346018436
0.8626,0.412751581805014,0.8626,0.419522010833033,0.8626,0.422680850510211,0.8626,0.421320866816138,0.8626,0.419489052044529
0.8724,0.410453297754272,0.8724,0.416639515281144,0.8724,0.419517705425664,0.8724,0.418290090274417,0.8724,0.416584496114701
0.8822,0.40816458700289,0.8822,0.41378705026898,0.8822,0.416437226194646,0.8822,0.415285123991591,0.8822,0.413684792676993
0.892,0.405910542726158,0.892,0.411009450211737,0.892,0.413393333068645,0.892,0.412295158825562,0.892,0.410933422764138
0.9018,0.403678545197515,0.9018,0.408262908281752,0.9018,0.410398481147079,0.9018,0.409386805844602,0.9018,0.40821098454934
0.9116,0.401461387404667,0.9116,0.405535004795177,0.9116,0.407444772426277,0.9116,0.406554654643434,0.9116,0.405505112780082
0.9214,0.399261985936238,0.9214,0.402864785515692,0.9214,0.404578914566063,0.9214,0.4037407861447,0.9214,0.402820326837152
0.9312,0.397127245207109,0.9312,0.400244267430383,0.9312,0.401805227747539,0.9312,0.401013317963208,0.9312,0.400255697056137
0.941,0.395074982006423,0.941,0.397675448503558,0.941,0.399055023507019,0.941,0.398337709273999,0.941,0.397696498356897
0.9508,0.393026073537122,0.9508,0.395150625602699,0.9508,0.396314873711197,0.9508,0.395678953365038,0.9508,0.395176319354059
0.9606,0.39097247384956,0.9606,0.392724463751727,0.9606,0.393552677160024,0.9606,0.393076454450253,0.9606,0.392734020060284
0.9704,0.389026462273429,0.9704,0.390263437891739,0.9704,0.390903252866727,0.9704,0.390569917163708,0.9704,0.390247639991122
0.9802,0.387013062313764,0.9802,0.387856146088554,0.9802,0.388266718484455,0.9802,0.388080237129065,0.9802,0.387807566911939
0.99,0.385003843633676,0.99,0.385487309790656,0.99,0.38569095630694,0.99,0.385621001396766,0.99,0.385443782290992
