FP_wecs,f1_score_wecs,FP_taad,f1_score_taad,FP_ecs,f1_score_ecs
0.0298015298156217,0.6666,0.0280005862226406,0.6666,0.0235531856127436,0.6666
0.0293844734853536,0.6764,0.0277120282704361,0.6764,0.023405898564253,0.6764
0.0289736777233011,0.6862,0.0274124188556246,0.6862,0.0232764523816045,0.6862
0.0285796860313104,0.696,0.0271508367816589,0.696,0.0231451970137321,0.696
0.0281911521022149,0.7058,0.0268457985006634,0.7058,0.0230175348859513,0.7058
0.0278131110316843,0.7156,0.0265595105439102,0.7156,0.0228696675987637,0.7156
0.0274477365017296,0.7254,0.0262834442306595,0.7254,0.022756857396238,0.7254
0.0270919699063412,0.7352,0.0260171963764778,0.7352,0.022611187880649,0.7352
0.0267429114109487,0.745,0.0257376527462757,0.745,0.022497082729252,0.745
0.0264077834516875,0.7548,0.0254852190217825,0.7548,0.0223859012207771,0.7548
